cat,subcat,name,website,facebook,location
Professional,Banks,TSB Bank,https://www.tsb.co.uk,https://www.facebook.com/TSBbankUK/,"57.1377862,-2.0883661"
Professional,Solicitors,The Law Practice Solicitors & Estate Agents,http://www.thelawpractice.org,https://www.facebook.com/tlpaberdeen/,"57.1404723,-2.1132863"
Professional,Schools,St Margarets School for Girls,https://www.st-margaret.aberdeen.sch.uk/,https://www.facebook.com/StMargaretsSchoolForGirls/,"57.1425656,-2.1152559"
Professional,Solicitors,Digby Brown Solicitors,https://www.digbybrown.co.uk,https://www.facebook.com/DigbyBrownSolicitors/,"57.1447257,-2.1064298"
Professional,Banks,Bank of Scotland,https://www.bankofscotland.co.uk,https://www.facebook.com/bankofscotland/,"57.1450364,-2.1036991"
Professional,Banks,Barclays Bank,https://www.barclays.co.uk,https://www.facebook.com/BarclaysUK/,"57.14552579999999,-2.1019696"
Professional,Schools,Robert Gordon College,http://www.rgc.aberdeen.sch.uk/,https://www.facebook.com/robertgordonscollege/,"57.1493667,-2.1027333"
Professional,Solicitors,Thompsons Personal Injury & Employment Solicitors,http://www.talktothompsons.com,https://www.facebook.com/Thompsons.Solicitors.Scotland/,"57.1494289,-2.093362"
Professional,Schools,Kingswells Primary School,http://www.kingswellsprimary.co.uk/,https://www.facebook.com/KingswellsPTA/,"57.15689769999999,-2.2233447"
Sports,Running,Duthie Park,https://www.aberdeencity.gov.uk/parks/duthie-park,https://www.facebook.com/132668493437858/,"57.130851,-2.103484"
Sports,Running,JogScotland,http://jogscotland.org.uk/,https://www.facebook.com/281934478497905/,"55.9335623,-3.3099157"
Sports,Gyms,David Lloyd Aberdeen,https://www.davidlloyd.co.uk,https://www.facebook.com/DavidLloydAberdeen/,"57.1194684,-2.1269381"
Sports,Swimming Pools,Tullos Swimming Pool,https://www.sportaberdeen.co.uk/tullos-swimming-pool,https://www.facebook.com/243203819172057/,"57.13166,-2.077384"
Sports,Gyms,Results Gym Aberdeen Ltd,https://www.resultsgym.co.uk/,https://www.facebook.com/ResultsGymAberdeen/,"57.13774859999999,-2.0975889"
